t,x,y,z
20.00082155,9.820742607,0.3936193287,0.6939185858
20.00288131,9.830313683,0.3936193287,0.679561615
20.00495446,9.825528145,0.4031906128,0.6747759581
20.00701785,9.820742607,0.3984049559,0.650847733
20.00908108,9.815358162,0.4031906128,0.650847733
20.01114164,9.805787086,0.4175475538,0.650847733
20.01320799,9.801001549,0.4175475538,0.6317051649
20.01526418,9.801001549,0.4223332107,0.6173482537
20.01732685,9.766903877,0.4313062727,0.5988038778
20.01938632,9.777072906,0.4217349887,0.6083751321
20.02144969,9.747760773,0.4265206456,0.613160789
20.02350866,9.757332802,0.4360919297,0.6125625968
20.02556294,9.76211834,0.4360919297,0.6173482537
20.02763545,9.752547264,0.4408775866,0.6221339107
20.02969735,9.738189697,0.4402793646,0.5988038778
20.03176211,9.752547264,0.4360919297,0.6035895348
20.03381993,9.757332802,0.4504488707,0.6029912829
20.03587441,9.757332802,0.4552344978,0.5982056856
20.03794493,9.752547264,0.4552344978,0.6173482537
20.04000657,9.757332802,0.4552344978,0.6125625968
20.04207087,9.76211834,0.4600201547,0.6221339107
20.04413068,9.76211834,0.4695914388,0.626919508
20.04619257,9.771689415,0.4504488707,0.6221339107
20.0482565,9.78126049,0.4552344978,0.6317051649
20.050324,9.766903877,0.4552344978,0.6221339107
20.05237832,9.766903877,0.4552344978,0.6460621357
20.05443762,9.781859398,0.4408775866,0.6460621357
20.05648967,9.776474953,0.4504488707,0.6317051649
20.05856443,9.78126049,0.4552344978,0.6460621357
20.06062684,9.786644936,0.4360919297,0.650847733
20.0626905,9.79083252,0.4456632137,0.6412764788
20.06474996,9.796216011,0.4414757788,0.6604190469
20.06680803,9.786644936,0.4313062727,0.650847733
20.06885589,9.796216011,0.4319044948,0.6699903607
20.07093574,9.801001549,0.4223332107,0.6556333899
20.07299714,9.781859398,0.4265206456,0.6460621357
20.07506379,9.805787086,0.4271188378,0.650847733
20.07712112,9.781859398,0.4121637046,0.6412764788
20.07918304,9.786644936,0.4169493318,0.6460621357
20.08124532,9.772287369,0.4121637046,0.6556333899
20.08330785,9.772287369,0.4169493318,0.6652047038
20.08536885,9.757930756,0.4169493318,0.6556333899
20.08742859,9.753743172,0.4025924206,0.6753742099
20.08948431,9.744172096,0.3978067636,0.694516778
20.09155475,9.744172096,0.4121637046,0.679561615
20.09361647,9.725028992,0.3828516304,0.6753742099
20.09568042,9.729815483,0.4019941986,0.670588553
20.0977405,9.705886841,0.3828516304,0.665802896
20.09980323,9.720243454,0.3972085714,0.6610172391
20.10186433,9.696315765,0.3876372576,0.6610172391
20.10392618,9.681958199,0.3870390654,0.6610172391
20.1059877,9.681360245,0.4061816335,0.6562315822
20.10804977,9.681958199,0.3870390654,0.641874671
20.11010905,9.68674469,0.3966103494,0.6610172391
20.11216088,9.677172661,0.3918247223,0.6610172391
20.11422328,9.681360245,0.3966103494,0.6562315822
20.11628927,9.681360245,0.3966103494,0.641874671
20.11836188,9.686145782,0.4061816335,0.6514459848
20.12042383,9.686145782,0.4109672904,0.6514459848
20.12248258,9.69093132,0.4067798555,0.665802896
20.12453512,9.700503349,0.4115654826,0.6610172391
20.1266083,9.714859962,0.4115654826,0.6562315822
20.12866891,9.724431038,0.4067798555,0.6562315822
20.13073358,9.729216576,0.4067798555,0.6562315822
20.13279317,9.7196455,0.4019941986,0.6514459848
20.13485415,9.729216576,0.4163511395,0.6317051649
20.13691648,9.74835968,0.4121637046,0.6652047038
20.13897811,9.74835968,0.4217349887,0.6317051649
20.14104043,9.753145218,0.4121637046,0.6317051649
20.14310291,9.74835968,0.4265206456,0.6604190469
20.14516681,9.757930756,0.4265206456,0.6364908218
20.14722636,9.762716293,0.4313062727,0.6412764788
20.14928636,9.757930756,0.4265206456,0.6412764788
20.1513388,9.757930756,0.4217349887,0.626919508
20.15341186,9.762716293,0.4265206456,0.6412764788
20.15547081,9.772287369,0.4217349887,0.6364908218
20.1575281,9.772287369,0.4121637046,0.6364908218
20.1595974,9.772287369,0.4217349887,0.6364908218
20.1616594,9.777072906,0.4265206456,0.6364908218
20.16372145,9.786644936,0.4121637046,0.6317051649
20.16577006,9.791430473,0.4223332107,0.6317051649
20.16783047,9.772287369,0.4217349887,0.6460621357
20.16990696,9.777072906,0.4313062727,0.650847733
20.17197122,9.801001549,0.4175475538,0.6364908218
20.17403099,9.786644936,0.4169493318,0.6556333899
20.17607798,9.801001549,0.4175475538,0.6460621357
20.1781503,9.796216011,0.4127618968,0.6364908218
20.18021676,9.805787086,0.4031906128,0.6460621357
20.18228282,9.801001549,0.4175475538,0.6556333899
20.18434141,9.801599503,0.4079762697,0.6891329288
20.18640231,9.801599503,0.4079762697,0.6604190469
20.18846141,9.796216011,0.4127618968,0.650847733
20.19051621,9.796216011,0.4175475538,0.6604190469
20.192589,9.777072906,0.4121637046,0.6556333899
20.19464984,9.786644936,0.4169493318,0.650847733
20.19671452,9.767501831,0.4121637046,0.6747759581
20.19877244,9.762716293,0.4121637046,0.6652047038
20.20082625,9.753145218,0.4217349887,0.6556333899
20.20289197,9.768099785,0.4121637046,0.679561615
20.20495918,9.772287369,0.4217349887,0.6747759581
20.20702334,9.763314247,0.4025924206,0.6747759581
20.20908458,9.757930756,0.4121637046,0.6604190469
20.21114514,9.763314247,0.4025924206,0.6610172391
20.21320745,9.758528709,0.3930211067,0.665802896
20.21526989,9.768099785,0.4025924206,0.6699903607
20.21733089,9.753145218,0.4121637046,0.6604190469
20.21939285,9.763314247,0.3930211067,0.6562315822
20.22145447,9.757930756,0.4073780477,0.6370890141
20.22351835,9.758528709,0.3882354796,0.6370890141
20.22558479,9.772886276,0.3978067636,0.6562315822
20.22764039,9.758528709,0.3930211067,0.6753742099
20.22970254,9.763314247,0.3930211067,0.6514459848
20.23176356,9.753145218,0.4025924206,0.6466603279
20.23382604,9.772886276,0.3930211067,0.6514459848
20.23588817,9.777671814,0.3882354796,0.6610172391
20.23794969,9.772886276,0.3834498227,0.6370890141
20.2400118,9.772886276,0.3786641955,0.6179464459
20.2420736,9.767501831,0.4025924206,0.613160789
20.24413679,9.772287369,0.4073780477,0.6227321029
20.24620237,9.772287369,0.4073780477,0.6227321029
20.24826052,9.781859398,0.4217349887,0.6317051649
20.25031876,9.777072906,0.4073780477,0.6323033571
20.25237159,9.781859398,0.4121637046,0.6460621357
20.25444678,9.781859398,0.4169493318,0.6173482537
20.25651459,9.791430473,0.4265206456,0.6221339107
20.25857263,9.781859398,0.4265206456,0.6412764788
20.26063094,9.781859398,0.4217349887,0.6173482537
20.26269128,9.796216011,0.4079762697,0.6077769399
20.26475275,9.801001549,0.4175475538,0.6125625968
20.26680573,9.801001549,0.4127618968,0.6173482537
20.26887739,9.805787086,0.4127618968,0.6364908218
20.27094022,9.805787086,0.4031906128,0.6460621357
20.27300497,9.801001549,0.4079762697,0.6412764788
20.27506372,9.810572624,0.4127618968,0.6221339107
20.27711855,9.810572624,0.4175475538,0.6317051649
20.27917275,9.805787086,0.4079762697,0.650847733
20.28125591,9.824930191,0.4175475538,0.650847733
20.28331283,9.820742607,0.3984049559,0.6556333899
20.28537805,9.80638504,0.3984049559,0.6556333899
20.28743154,9.80638504,0.3936193287,0.6460621357
20.28948704,9.801599503,0.3888336718,0.6460621357
20.29155954,9.796813965,0.3792623878,0.6514459848
20.29362156,9.801599503,0.3792623878,0.6323033571
20.29568628,9.796813965,0.3792623878,0.6610172391
20.29774624,9.801599503,0.3840480447,0.6604190469
20.29980708,9.777671814,0.3690928817,0.641874671
20.30186901,9.772886276,0.3690928817,0.6275177598
20.30393073,9.782457352,0.3738785386,0.665802896
20.30599289,9.772886276,0.3834498227,0.6562315822
20.30805481,9.758528709,0.3930211067,0.6610172391
20.31011426,9.753743172,0.3786641955,0.665802896
20.31216927,9.753743172,0.3882354796,0.641874671
20.31424148,9.739386559,0.3876372576,0.6370890141
20.31630242,9.729815483,0.3732803464,0.6370890141
20.31836673,9.720243454,0.3780659735,0.6610172391
20.32042348,9.7196455,0.3972085714,0.6370890141
20.32247838,9.734601021,0.3876372576,0.641874671
20.32455096,9.725028992,0.3876372576,0.641874671
20.32661188,9.729216576,0.4019941986,0.641874671
20.32867653,9.734601021,0.3924229145,0.6514459848
20.3307365,9.715457916,0.3972085714,0.670588553
20.33279756,9.714859962,0.4115654826,0.6610172391
20.33485972,9.725028992,0.3924229145,0.6466603279
20.33692126,9.7196455,0.4067798555,0.6562315822
20.33898346,9.729216576,0.4067798555,0.6466603279
20.34104524,9.734601021,0.4019941986,0.6753742099
20.34310509,9.734002113,0.4115654826,0.6466603279
20.34516057,9.738788605,0.4067798555,0.6466603279
20.3472321,9.724431038,0.4163511395,0.6610172391
20.34929026,9.734002113,0.4163511395,0.6652047038
20.35134647,9.724431038,0.4115654826,0.665802896
20.35341384,9.724431038,0.4259224236,0.6466603279
20.35546812,9.734002113,0.4067798555,0.6466603279
20.35754328,9.7196455,0.4163511395,0.641874671
20.35960244,9.738788605,0.4211367965,0.6412764788
20.36166719,9.724431038,0.4259224236,0.6556333899
20.36372467,9.738788605,0.4163511395,0.6370890141
20.36577516,9.734002113,0.4115654826,0.6323033571
20.36783956,9.738788605,0.4163511395,0.6370890141
20.36991168,9.734002113,0.4211367965,0.6466603279
20.37197647,9.738788605,0.4259224236,0.6364908218
20.37403584,9.734002113,0.4211367965,0.6227321029
20.37608476,9.734002113,0.4259224236,0.6275177598
20.37814958,9.738788605,0.4307080805,0.6317051649
20.38022248,9.734002113,0.4259224236,0.6317051649
20.382286,9.73340416,0.4402793646,0.6317051649
20.3843479,9.742975235,0.4307080805,0.6173482537
20.38640504,9.767501831,0.4313062727,0.6556333899
20.38846169,9.743574142,0.4121637046,0.6610172391
20.39053226,9.757332802,0.4408775866,0.6364908218
20.39259294,9.762716293,0.4217349887,0.6317051649
20.39465703,9.766903877,0.4408775866,0.6221339107
20.39671739,9.762716293,0.4360919297,0.6412764788
20.39877588,9.767501831,0.4360919297,0.6317051649
20.40082681,9.776474953,0.4408775866,0.6317051649
20.40289212,9.781859398,0.4360919297,0.6317051649
20.40496428,9.777072906,0.4217349887,0.6460621357
20.40702899,9.776474953,0.4552344978,0.6412764788
20.40909332,9.791430473,0.4360919297,0.626919508
